bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Cluster_Label
0.42553191489361697,B,Major,0.7808219178082192,0.913978494623656,0.8313253012048193,0.31958762886597936,0.0,0.05319148936170213,0.03225806451612903,1
0.1914893617021276,C#,Major,0.6575342465753424,0.6129032258064517,0.7228915662650603,0.07216494845360824,0.0,0.07446808510638298,0.03225806451612903,1
0.5177304964539007,F,Major,0.38356164383561636,0.3010752688172043,0.4698795180722892,0.17525773195876287,0.0,0.2978723404255319,0.06451612903225806,0
0.7446808510638298,A,Major,0.43835616438356156,0.5806451612903226,0.6987951807228916,0.1134020618556701,0.0,0.08510638297872342,0.20967741935483872,0
0.5390070921985816,C#,Major,0.9452054794520548,0.6666666666666667,0.5301204819277109,0.1958762886597938,0.0,0.05319148936170213,0.3548387096774194,1
0.5886524822695035,F,Minor,0.6027397260273972,0.849462365591398,0.746987951807229,0.4948453608247423,0.0,0.05319148936170213,0.016129032258064516,1
0.24822695035460995,F,Major,0.6027397260273972,0.23655913978494625,0.6867469879518073,0.38144329896907214,0.0,0.08510638297872342,0.03225806451612903,0
0.46099290780141844,C#,Minor,0.8493150684931507,0.1935483870967742,0.5783132530120483,0.12371134020618557,0.0,0.26595744680851063,0.1129032258064516,0
0.7446808510638298,D,Minor,0.7945205479452055,0.5591397849462366,0.40963855421686757,0.21649484536082475,0.0,0.05319148936170213,0.5,1
0.12765957446808507,F#,Minor,0.4657534246575343,0.5591397849462366,0.6987951807228916,0.23711340206185566,0.0,0.2553191489361702,0.04838709677419355,0
0.6028368794326241,F,Minor,0.7534246575342465,0.5161290322580646,0.819277108433735,0.18556701030927836,0.0,0.12765957446808512,0.08064516129032258,1
0.46099290780141844,D,Minor,0.38356164383561636,0.3010752688172043,0.3493975903614458,0.8556701030927835,0.0,0.06382978723404256,0.016129032258064516,2
0.17021276595744683,G#,Major,0.5616438356164384,0.41935483870967744,0.710843373493976,0.05154639175257732,0.18681318681318682,0.13829787234042554,0.03225806451612903,0
0.3900709219858156,B,Minor,0.7534246575342465,0.7741935483870969,0.5421686746987953,0.44329896907216493,0.0,0.32978723404255317,0.016129032258064516,1
0.24822695035460995,B,Major,0.8630136986301369,0.6774193548387097,0.6265060240963856,0.14432989690721648,0.0,0.09574468085106383,0.22580645161290322,1
0.3900709219858156,G,Major,0.547945205479452,0.34408602150537637,0.710843373493976,0.0,0.0,0.35106382978723405,0.03225806451612903,0
0.5319148936170213,F,Minor,0.5753424657534247,0.89247311827957,0.7228915662650603,0.2268041237113402,0.0,0.4148936170212766,0.03225806451612903,1
0.4113475177304964,F#,Major,0.6301369863013699,0.838709677419355,0.746987951807229,0.061855670103092786,0.0,0.031914893617021274,0.016129032258064516,1
0.4822695035460993,F,Minor,0.8493150684931507,0.827956989247312,0.6385542168674699,0.26804123711340205,0.0,0.09574468085106383,0.04838709677419355,1
0.24113475177304966,C#,Major,0.8493150684931507,0.849462365591398,0.6506024096385543,0.07216494845360824,0.0,0.35106382978723405,0.29032258064516125,1
0.46099290780141844,G,Minor,0.7671232876712328,0.989247311827957,0.8674698795180723,0.09278350515463918,0.0,0.06382978723404256,0.1129032258064516,1
0.2978723404255319,B,Major,0.7808219178082192,0.838709677419355,0.7951807228915663,0.44329896907216493,0.0,0.11702127659574468,0.03225806451612903,1
0.4042553191489362,F#,Minor,0.7945205479452055,0.7526881720430109,0.6867469879518073,0.14432989690721648,0.0,0.5638297872340425,0.03225806451612903,1
0.3191489361702128,B,Minor,0.6027397260273972,0.7956989247311829,0.855421686746988,0.020618556701030927,0.0,0.3191489361702128,0.04838709677419355,1
